id,time,feature
0,2019-03-19 00:00:00,237.97
1,2019-03-19 00:00:10,57.93
2,2019-03-19 00:00:20,90.53
3,2019-03-19 00:00:30,260.75
4,2019-03-19 00:00:40,49.7
5,2019-03-19 00:00:50,302.08
6,2019-03-19 00:01:00,152.25
7,2019-03-19 00:01:10,41.19
8,2019-03-19 00:01:20,34.61
9,2019-03-19 00:01:30,205.87
10,2019-03-19 00:01:40,166.23
11,2019-03-19 00:01:50,73.75
12,2019-03-19 00:02:00,282.46
13,2019-03-19 00:02:10,122.71
14,2019-03-19 00:02:20,32.04
15,2019-03-19 00:02:30,40.73
16,2019-03-19 00:02:40,55.06
17,2019-03-19 00:02:50,46.4
18,2019-03-19 00:03:00,54.46
19,2019-03-19 00:03:10,29.97
20,2019-03-19 00:03:20,40.43
21,2019-03-19 00:03:30,21.36
22,2019-03-19 00:03:40,46.59
23,2019-03-19 00:03:50,43.11
24,2019-03-19 00:04:00,55.62
25,2019-03-19 00:04:10,27.36
26,2019-03-19 00:04:20,50.94
27,2019-03-19 00:04:30,116.61
28,2019-03-19 00:04:40,91.8
29,2019-03-19 00:04:50,198.32
30,2019-03-19 00:05:00,326.76
31,2019-03-19 00:05:10,266.69
32,2019-03-19 00:05:20,205.95
33,2019-03-19 00:05:30,149.42
34,2019-03-19 00:05:40,233.22
35,2019-03-19 00:05:50,63.63
36,2019-03-19 00:06:00,89.77
37,2019-03-19 00:06:10,255.79
38,2019-03-19 00:06:20,161.08
39,2019-03-19 00:06:30,123.41
40,2019-03-19 00:06:40,239.69
41,2019-03-19 00:06:50,108.12
42,2019-03-19 00:07:00,94.31
43,2019-03-19 00:07:10,224.3
44,2019-03-19 00:07:20,184.75
45,2019-03-19 00:07:30,113.74
46,2019-03-19 00:07:40,146.06
47,2019-03-19 00:07:50,326.35
48,2019-03-19 00:08:00,126.81
49,2019-03-19 00:08:10,192.0
50,2019-03-19 00:08:20,187.7
51,2019-03-19 00:08:30,194.04
52,2019-03-19 00:08:40,293.84
53,2019-03-19 00:08:50,201.54
54,2019-03-19 00:09:00,123.67
55,2019-03-19 00:09:10,260.87
56,2019-03-19 00:09:20,28.26
57,2019-03-19 00:09:30,131.97
58,2019-03-19 00:09:40,76.73
59,2019-03-19 00:09:50,113.35
60,2019-03-19 00:10:00,67.01
61,2019-03-19 00:10:10,65.89
62,2019-03-19 00:10:20,88.47
63,2019-03-19 00:10:30,201.17
64,2019-03-19 00:10:40,110.79
65,2019-03-19 00:10:50,157.37
66,2019-03-19 00:11:00,199.37
67,2019-03-19 00:11:10,173.72
68,2019-03-19 00:11:20,188.69
69,2019-03-19 00:11:30,155.62
70,2019-03-19 00:11:40,156.46
71,2019-03-19 00:11:50,111.91
72,2019-03-19 00:12:00,153.83
73,2019-03-19 00:12:10,83.51
74,2019-03-19 00:12:20,401.43
75,2019-03-19 00:12:30,469.72
76,2019-03-19 00:12:40,406.79
77,2019-03-19 00:12:50,128.91
78,2019-03-19 00:13:00,85.28
79,2019-03-19 00:13:10,121.12
